info_path,purpose,criterion,local_name,source_type,dataset_id,repo_id,repo_url,status,description
data\raw\needs_relabel\05_problem_resolution\customer_support_on_twitter_conversation_hf\dataset_info.json,needs_relabel,resolution,customer_support_on_twitter_conversation_hf,huggingface,TNE-AI/customer-support-on-twitter-conversation,,,success,"Customer support conversation, cần gán nhãn lại cho resolution/empathy/politeness."
data\raw\needs_relabel\05_problem_resolution\customer_support_on_twitter_kaggle\dataset_info.json,needs_relabel,resolution,customer_support_on_twitter_kaggle,manual,,,,manual_download_required,
data\raw\needs_relabel\05_problem_resolution\custom_vietnamese_cskh_conversations\dataset_info.json,needs_relabel,resolution,custom_vietnamese_cskh_conversations,manual,,,,manual_download_required,
data\raw\needs_relabel\05_problem_resolution\multiwoz_v22\dataset_info.json,needs_relabel,resolution,multiwoz_v22,huggingface,pfb30/multi_woz_v22,,,failed,"Task-oriented dialogue, cần gán nhãn lại cho problem resolution."
data\raw\needs_relabel\05_problem_resolution\tweetsumm\dataset_info.json,needs_relabel,resolution,tweetsumm,github,,,https://github.com/guyfe/Tweetsumm.git,success,"TweetSumm customer support dialogues, cần gán nhãn lại theo 5 tiêu chí."
data\raw\needs_relabel\05_problem_resolution\vietnamese_customer_support_qa\dataset_info.json,needs_relabel,resolution,vietnamese_customer_support_qa,huggingface,ura-hcmut/Vietnamese-Customer-Support-QA,,,failed,"QA hỗ trợ khách hàng tiếng Việt, cần gán nhãn lại theo 5 tiêu chí."
data\raw\main_train\04_negative_attack_toxicity\victsd\dataset_info.json,main_train,toxicity,victsd,huggingface,tarudesu/ViCTSD,,,success,"ViCTSD tiếng Việt, dùng cho toxic/constructive speech detection."
data\raw\main_train\04_negative_attack_toxicity\vihsd\dataset_info.json,main_train,toxicity,vihsd,huggingface,uitnlp/vihsd,,,failed,"ViHSD tiếng Việt, nhãn CLEAN/OFFENSIVE/HATE, dùng train toxicity."
data\raw\main_train\01_sentiment_overall\uit_vsfc_tridm\dataset_info.json,main_train,sentiment,uit_vsfc_tridm,huggingface,tridm/UIT-VSFC,,,success,"UIT-VSFC tiếng Việt, có nhãn sentiment, dùng train/bổ sung sentiment."
data\raw\main_train\01_sentiment_overall\vietnamese_sentiment_analysis\dataset_info.json,main_train,sentiment,vietnamese_sentiment_analysis,huggingface,anotherpolarbear/vietnamese-sentiment-analysis,,,success,"Dataset tiếng Việt cho sentiment analysis, dùng train tiêu chí cảm xúc tổng thể."
data\raw\auxiliary_pretrain_baseline\04_negative_attack_toxicity\vithsd\dataset_info.json,auxiliary,toxicity,vithsd,huggingface,sonlam1102/vithsd,,,failed,"Vietnamese target-oriented hate speech detection, dùng bổ sung toxicity."
data\raw\auxiliary_pretrain_baseline\03_politeness_respect\politeness_corpus_frfede\dataset_info.json,auxiliary,politeness,politeness_corpus_frfede,huggingface,frfede/politeness-corpus,,,success,"Politeness corpus, dùng baseline cho lịch sự/tôn trọng."
data\raw\auxiliary_pretrain_baseline\03_politeness_respect\polite_guard\dataset_info.json,auxiliary,politeness,polite_guard,huggingface,Intel/polite-guard,,,success,"Dataset polite/neutral/impolite, dùng baseline cho lịch sự."
data\raw\auxiliary_pretrain_baseline\03_politeness_respect\stanford_politeness\dataset_info.json,auxiliary,politeness,stanford_politeness,huggingface_csv_files,,Cleanlab/stanford-politeness,,success,"Stanford Politeness, tải từng file CSV riêng."
data\raw\auxiliary_pretrain_baseline\02_empathy\empatheticdialogues_grimjim\dataset_info.json,auxiliary,empathy,empatheticdialogues_grimjim,huggingface,grimjim/empatheticdialogues,,,failed,"Mirror khác của EmpatheticDialogues, dùng phụ cho empathy."
data\raw\auxiliary_pretrain_baseline\02_empathy\empathetic_dialogues_contexts\dataset_info.json,auxiliary,empathy,empathetic_dialogues_contexts,huggingface,bdotloh/empathetic-dialogues-contexts,,,success,"Mirror EmpatheticDialogues, dùng baseline/pretrain cho empathy."
data\raw\auxiliary_pretrain_baseline\02_empathy\empathetic_dialogues_direct\dataset_info.json,auxiliary,empathy,empathetic_dialogues_direct,direct_csv,,,,success,"EmpatheticDialogues tải trực tiếp từ CSV mirror, dùng auxiliary cho empathy."
data\raw\auxiliary_pretrain_baseline\02_empathy\esconv\dataset_info.json,auxiliary,empathy,esconv,huggingface,thu-coai/esconv,,,success,"Emotional Support Conversation, dùng pretrain/baseline cho empathy."
data\raw\05_problem_resolution\customer_support_on_twitter\dataset_info.json,,resolution,customer_support_on_twitter,manual,,,,,
data\raw\05_problem_resolution\multiwoz_v22\dataset_info.json,,resolution,multiwoz_v22,huggingface,pfb30/multi_woz_v22,,,failed,"Dữ liệu hội thoại task-oriented, dùng tham khảo khả năng hoàn thành nhiệm vụ."
data\raw\05_problem_resolution\tweetsumm\dataset_info.json,,resolution,tweetsumm,github,,,https://github.com/guyfe/Tweetsumm.git,,TweetSumm: hội thoại chăm sóc khách hàng kèm tóm tắt.
data\raw\05_problem_resolution\vietnamese_customer_support_qa\dataset_info.json,,resolution,vietnamese_customer_support_qa,huggingface,ura-hcmut/Vietnamese-Customer-Support-QA,,,failed,Dữ liệu hỏi đáp hỗ trợ khách hàng tiếng Việt.
data\raw\04_negative_attack_toxicity\vihos\dataset_info.json,,toxicity,vihos,huggingface,phusroyal/ViHOS,,,failed,Dữ liệu tiếng Việt phát hiện span công kích/độc hại.
data\raw\04_negative_attack_toxicity\vihsd\dataset_info.json,,toxicity,vihsd,huggingface,uitnlp/vihsd,,,failed,Dữ liệu tiếng Việt phát hiện hate/offensive speech.
data\raw\03_politeness_respect\stanford_politeness\dataset_info.json,,politeness,stanford_politeness,huggingface_csv_files,,Cleanlab/stanford-politeness,,success,Dữ liệu đánh giá mức độ lịch sự.
data\raw\02_empathy\empathetic_dialogues\dataset_info.json,,empathy,empathetic_dialogues,direct_csv,,,,success,"Dữ liệu hội thoại đồng cảm, dùng cho tiêu chí đồng cảm của nhân viên."
data\raw\01_sentiment_overall\vietnamese_sentiment_analysis\dataset_info.json,,sentiment,vietnamese_sentiment_analysis,huggingface,anotherpolarbear/vietnamese-sentiment-analysis,,,success,Dữ liệu tiếng Việt cho đánh giá cảm xúc tổng thể.
